,artist,title
2743,Adele,Cry Your Heart Out
2748,Adele,Hold On
2752,Adele With Erroll Garner,All Night Parking (Interlude)
2754,Adele,Woman Like Me
2755,Adele,Love Is A Game
2772,State Of Mine & Drew Jacobs,God's Country
2865,Polo G Featuring Lil Baby,Don't Play
2885,"Nardo Wick, Lil Baby & Future",Me Or Sum
2886,Polo G,Young N Dumb
2893,Polo G Featuring Moneybagg Yo,Start Up Again
2897,Brent Faiyaz,Mercedes
2899,Polo G,Partin Ways
2939,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",Juggernaut
2941,"Tyler, The Creator Featuring 42 Dugg",Lemonhead
2947,"Tyler, The Creator Featuring Lil Wayne",Hot Wind Blows
2954,"Tyler, The Creator",Corso
2956,Doja Cat Featuring Ariana Grande,I Don't Do Drugs
2958,"Tyler, The Creator Featuring DJ Drama",Sir Baudelaire
2959,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",Sweet / I Thought You Wanted To Dance
2965,"Tyler, The Creator",Massa
2967,"Tyler, The Creator Featuring Teezo Touchdown",RunItUp
2983,"Tyler, The Creator Featuring Domo Genesis",Manifesto
2994,"Tyler, The Creator",Wilshire
2998,"Tyler, The Creator Featuring Daisy World",Rise!
3027,J. Cole & Bas,hunger.on.hillside
3032,J. Cole,close
3051,Nicki Minaj,Fractions
3066,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",His & Hers
3077,YoungBoy Never Broke Again,White Teeth
3081,Nicki Minaj,Itty Bitty Piggy
3099,Nicki Minaj & Skillibeng,Crocodile Teeth
3252,Lil Durk Featuring Pooh Shiesty,Should've Ducked
3270,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",Gravity
3290,Lil Durk,Kanye Krazy
3295,Tom MacDonald,Fake Woke
3329,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",Sorry Not Sorry
3378,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",Body In Motion
3383,DJ Khaled Featuring Cardi B,Big Paper
3384,Baby Keem & Travis Scott,Durag Activity
3389,NLE Choppa,Final Warning
3399,DJ Khaled Featuring Lil Wayne & Jeremih,Thankful
3431,Drake,Fucking Fans
3434,Drake,The Remorse
3752,YoungBoy Never Broke Again,Hold Me Down
3758,YoungBoy Never Broke Again,50 Shots
3760,YoungBoy Never Broke Again,Smoke Strong
3761,YoungBoy Never Broke Again,Break Or Make Me
3766,YoungBoy Never Broke Again,Sincerely
3768,YoungBoy Never Broke Again,I Can't Take It Back
3779,YoungBoy Never Broke Again,Forgiato
3782,YoungBoy Never Broke Again,Rich Shit
3791,YoungBoy Never Broke Again,Baddest Thing
3798,YoungBoy Never Broke Again,Toxic Punk
4028,Juice WRLD & SUGA,Girl Of My Dreams
4055,"Juice WRLD, Polo G & Trippie Redd",Feline
4062,Juice WRLD,Rockstar In His Prime
4063,Juice WRLD,You Wouldn't Understand
4074,Juice WRLD,Doom
4075,Juice WRLD,Go Hard
4079,Juice WRLD,Not Enough
4081,A Boogie Wit da Hoodie,Man In The Mirror
4085,Juice WRLD,From My Window
4086,Juice WRLD,Relocate
4097,Juice WRLD,Feel Alone
4194,Jessie Murph,Always Been You
4313,Aaron Lewis,Am I The Only One
4372,Big Red Machine Featuring Taylor Swift,Renegade
4380,G Herbo Featuring Polo G & Lil Tjay,Cry No More
4448,Pop Smoke Featuring Kanye West & Pusha T,Tell The Vision
4453,Pop Smoke Featuring 21 Savage & 42 Dugg,Bout A Million
4470,Pop Smoke Featuring Future,Mr. Jones
4479,Pop Smoke,More Time
4481,Pop Smoke Featuring Rick Ross & The-Dream,Manslaughter
4485,Pop Smoke Featuring Dua Lipa,Demeanor
4496,Pop Smoke Featuring Bizzy Banks,30
4577,YNW Melly Featuring Lil Uzi Vert,Mind Of Melvin
4578,Machine Gun Kelly,Papercuts
4588,Tom MacDonald,Brainwashed
4596,T-Pain & Kehlani,I Like Dat
4597,Dan + Shay,Steal My Love
4615,DMX,Ruff Ryders' Anthem
4639,DMX,Party Up (Up In Here)
4645,DMX,X Gon' Give It To Ya
4664,Taylor Swift,Forever & Always (Taylor's Version)
4670,Taylor Swift,Fearless (Taylor's Version)
4671,Taylor Swift Featuring Maren Morris,You All Over Me (Taylor's Version) (From The Vault)
4674,Taylor Swift,You Belong With Me (Taylor's Version)
4686,twenty one pilots,Shy Away
4687,Taylor Swift,Fifteen (Taylor's Version)
4693,Taylor Swift,The Way I Loved You (Taylor's Version)
4752,NF,Clouds
4760,Ariana Grande,Test Drive
4766,Lil Yachty Featuring Kodak Black,Hit Bout It
4787,Clinton Kane,Chicken Tendies
4789,6ix9ine,ZaZa
4854,Rod Wave,SoulFly
4860,Rod Wave,Gone Till November
4862,Rod Wave,Don't Forget
4864,Rod Wave,Blame On You
4870,Rod Wave,All I Got
4884,Rod Wave,Pills & Billz
4887,Rod Wave,How The Game Go
4888,Rod Wave,OMDB
4893,Rod Wave,What's Love??
4895,Rod Wave,Shock Da World
4897,Rod Wave,Sneaky Links
4996,"Juice WRLD, Clever & Post Malone",Life's A Mess II
5124,Summer Walker & Cardi B,Bitter
5125,Travis Scott,Mafia
5140,Summer Walker,Throw It Away
5143,Summer Walker,Reciprocate
5144,Summer Walker Featuring Lil Durk,Toxic
5147,Summer Walker & Ari Lennox,Unloyal
5148,Summer Walker,Constant Bulls**t
5149,Summer Walker,You Don't Know Me
5151,Summer Walker,Insane
5153,Summer Walker,Circus
5155,Summer Walker,4th Baby Mama
5158,Summer Walker,Switch A N*gga Out
5159,Summer Walker,Closure
5167,Summer Walker,Session 33
5172,Summer Walker & Omarion,Screwin
5175,Summer Walker,Broken Promises
5176,"Summer Walker, Pharrell Williams & The Neptunes",Dat Right There
5180,Thomas Rhett,Slow Down Summer
5188,NLE Choppa Featuring Polo G,Jumpin
5260,"Lil Tjay, Fivio Foreign & Kay Flock",Not In The Mood
5468,Billie Eilish,Getting Older
5469,Billie Eilish,Billie Bossa Nova
5471,Billie Eilish,Oxytocin
5479,Billie Eilish,I Didn't Change My Number
5489,Billie Eilish,Halley's Comet
5490,Billie Eilish,My Future
5498,Isaiah Rashad Featuring Lil Uzi Vert,From The Garden
5591,Selena Gomez,De Una Vez
5593,Ant Clemons Featuring Justin Timberlake,Better Days
5625,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
5632,Elvis Presley,Blue Christmas
5635,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas)
5638,Donny Hathaway,This Christmas
5649,Bing Crosby,I'll Be Home For Christmas
5653,Carrie Underwood & John Legend,Hallelujah
5659,Eminem,Gnat
5660,Justin Bieber,Rockin' Around The Christmas Tree
5661,Carrie Underwood,Favorite Time Of Year
5674,Kelly Clarkson & Brett Eldredge,Under The Mistletoe
5676,Taylor Swift,Champagne Problems
5677,Gabby Barrett,The First Noel
5685,Kid Cudi,Tequila Shots
5690,Taylor Swift,'Tis The Damn Season
5693,Carrie Underwood,Silent Night
5696,Taylor Swift Featuring HAIM,"No Body, No Crime"
5761,Eminem Featuring Jack Harlow & Cordae,Killer
5884,Jameson Rodgers,Some Girls
5890,Shawn Mendes,Wonder
5895,Matt Stell,Everywhere But On
5898,The Kid LAROI & Juice WRLD,Reminds Me Of You
5952,Polo G,Black Hearted
5958,Polo G,Painting Pictures
5960,Migos,Modern Day
5962,Polo G,Toxic
5963,Lorde,Solar Power
5964,Migos Featuring Polo G,Malibu
5970,Migos & Cardi B,Type Shit
5978,Polo G Featuring Pop Smoke & Fivio Foreign,Clueless
5982,Polo G Featuring Rod Wave,Heart Of A Giant
5984,Polo G Featuring DaBaby,Party Lyfe
5985,Polo G Featuring G Herbo,Go Part 1
5987,Polo G,Epidemic
5988,Polo G,Boom
5996,Polo G,Bloody Canvas
