,artist,title
2860,Thomas Rhett,Remember You Young
2866,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone
2868,"JACKBOYS, Pop Smoke & Travis Scott",GATTI
2874,Niall Horan,Nice To Meet Ya
2877,YNW Melly & 9lokknine,223's
2879,Joji,Slow Dancing In The Dark
2884,Post Malone Featuring DaBaby,Enemies
2888,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe
2890,Trippie Redd Featuring DaBaby,Death
2891,Ant Saunders,Yellow Hearts
2893,Juice WRLD,Let Me Know (I Wonder Why Freestyle)
2894,"DJ Snake, J. Balvin & Tyga",Loco Contigo
2895,Doja Cat,Candy
2897,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China
2982,Khalid,Eleven
2983,Moneybagg Yo X Megan Thee Stallion,All Dat
2985,John Legend,Conversations In The Dark
2988,Moneybagg Yo Featuring DaBaby,Protect da Brand
2991,Selena Gomez,Look At Her Now.
2996,Roddy Ricch Featuring Meek Mill,Peta
2999,Olivia Rodrigo,All I Want
3053,Tory Lanez,Stupid Again
3058,Selena Gomez,Boyfriend
3083,Polo G,DND
3099,Doja Cat,Boss Bitch
3161,Rod Wave,Letter From Houston
3185,Rod Wave,Freestyle
3334,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",What That Speed Bout!?
3364,NAV Featuring Lil Baby,Don't Need Friends
3365,King Von Featuring Polo G,The Code
3375,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,Tragic
3376,King Von Featuring Lil Durk,All These N**gas
3380,King Von Featuring Lil Durk,Crazy Story 2.0
3382,The Kid LAROI,Always Do
3383,NAV With Gunna,Young Wheezy
3398,The Kid LAROI Featuring Machine Gun Kelly,"F*ck You, Goodbye"
3452,Ty Dolla $ign Featuring Post Malone,Spicy
3468,Luke Combs,The Other Guy
3483,Luke Combs,Cold As You
3498,Joel Corry X MNEK,Head & Heart
3499,Little Big Town,"Wine, Beer, Whiskey"
3538,Taylor Swift,This Is Me Trying
3543,Taylor Swift,Illicit Affairs
3546,Taylor Swift,Mad Woman
3556,Taylor Swift,Epiphany
3557,Taylor Swift,Peace
3570,Taylor Swift,Hoax
3594,Logic,Perfect
3746,YoungBoy Never Broke Again,Red Eye
3757,YoungBoy Never Broke Again,Fine By Time
3758,YoungBoy Never Broke Again,Bad Bad
3759,YoungBoy Never Broke Again,Knocked Off
3779,YoungBoy Never Broke Again,RIP Lil Phat
3783,BTS,My Time
3784,YoungBoy Never Broke Again,Long RD
3786,BTS,Filter
3788,YoungBoy Never Broke Again,Bat Man
3792,Pop Smoke Featuring Quavo,Shake The Room
3797,Selena Gomez,Feel Me
3859,PARTYNEXTDOOR Featuring Drake,Loyal
3927,Lil Uzi Vert,POP
3932,Lil Uzi Vert,Bigger Than Life
3933,Lil Uzi Vert,Celebration Station
3935,Lil Uzi Vert,You Better Move
3936,Lil Uzi Vert,I'm Sorry
3938,Lil Uzi Vert,Venetia
3944,Lil Uzi Vert,Chrome Heart Tags
3950,Lil Uzi Vert,Bust Me
3964,Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.)
3971,Lil Uzi Vert,Secure The Bag
3975,Lil Uzi Vert Featuring Syd,Urgency
3986,Jhene Aiko,Triggered
3992,Jhene Aiko Featuring Big Sean,None Of Your Concern
4042,Frank Sinatra,Jingle Bells
4043,Jonas Brothers,Like It's Christmas
4044,Dean Martin,Baby It's Cold Outside
4068,John Legend,Happy Xmas (War Is Over)
4078,Ellie Goulding & Juice WRLD,Hate Me
4091,DaBaby Featuring Offset,Baby Sitter
4165,Rosalia & Travis Scott,TKN
4182,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",T.D
4183,Lady Gaga,Alice
4185,Anuel AA & Bad Bunny,Hasta Que Dios Diga
4187,Kygo & OneRepublic,Lose Somebody
4293,Lil Tjay,20/20
4450,Pop Smoke Featuring Rowdy Rebel,Make It Rain
4495,Zac Brown Band,The Man Who Loves You The Most
4661,Lil Durk,The Voice
4668,Big Sean Featuring Travis Scott,Lithuania
4681,Big Sean Featuring Nipsey Hussle,Deep Reverence
4694,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,Body Language
4696,Big Sean,Why Would I Stop?
4773,Travis Scott,The Plan
4795,Nas Featuring Fivio Foreign & A$AP Ferg,Spicy
4888,Zayn,Better
4890,Machine Gun Kelly,Drunk Face
4893,Karol G,"Ay, Dios Mio!"
4896,Tory Lanez,Money Over Fallouts
5093,Camila Cabello,First Man
5094,Ali Gatie,What If I Told You That I Love You
5124,Drake Featuring Chris Brown,Not You Too
5131,Drake,Deep Pockets
5134,Drake,When To Say When
5138,Drake,Landed
5144,Drake,From Florida With Love
5150,Drake,Losses
5151,Drake,War
5164,Lil Baby,Social Distancing
5180,Lil Baby,Low Down
5185,Lil Baby,Humble
5252,Future,Trapped In The Sun
5253,Future Featuring Lil Uzi Vert,All Bad
5267,Future,Hard To Choose One
5268,Future,Ridin Strikers
5270,Future,Hitek Tek
5274,Future,Too Comfortable
5278,Future,Posted With Demons
5280,Future,Touch The Sky
5281,Future,One Of My
5283,Future Featuring Young Thug,Harlem Shake
5287,Polo G,Don't Believe The Hype
5291,Polo G,Beautiful Pain (Losin My Mind)
5292,Polo G,33
5294,Polo G,I Know
5367,Joji,Run
5373,Lil Nas X & Cardi B Or Nas,Rodeo
5382,Anuel AA,KEII
5389,Meek Mill Featuring Justin Timberlake,Believe
5396,Niall Horan,No Judgement
5457,Bebe Rexha Featuring Doja Cat,"Baby, I'm Jealous"
5497,Clairo,Sofia
5539,Taylor Swift,Gold Rush
5544,Taylor Swift,Tolerate It
5548,Kid Cudi,She Knows This
5551,Taylor Swift,Happiness
5553,"Kid Cudi, Skepta & Pop Smoke",Show Out
5556,Taylor Swift Featuring Bon Iver,Evermore
5560,Taylor Swift,Ivy
5562,Taylor Swift Featuring The National,Coney Island
5563,Kid Cudi,Another Day
5566,Taylor Swift,Dorothea
5567,Taylor Swift,Long Story Short
5570,Taylor Swift,Cowboy Like Me
5574,Taylor Swift,Marjorie
5577,Kid Cudi,Mr. Solo Dolo III
5579,Kid Cudi,Dive
5581,Taylor Swift,Closure
5584,Kid Cudi,Heaven On Earth
5588,The Kid LAROI & Juice WRLD,Reminds Me Of You
5589,Kid Cudi,Sad People
5590,Kid Cudi,Damaged
5599,Kid Cudi,Beautiful Trip
5842,Pop Smoke,Yea Yea
5853,Pop Smoke Featuring Quavo & Future,Snitchin
5854,Pop Smoke,Bad Bitch From Tokyo (Intro)
5856,Pop Smoke Featuring Swae Lee,Creature
5864,Pop Smoke Featuring Tyga & Quavo,West Coast Shit
5875,Pop Smoke Featuring King Combs,Diana
5878,Pop Smoke,Tunnel Vision (Outro)
5898,6ix9ine,YaYa
5963,Bad Bunny,Yo Visto Asi
5971,Bad Bunny,Haciendo Que Me Amas
5973,Bad Bunny,Te Deseo Lo Mejor
5977,Bad Bunny,Booker T
5978,Bad Bunny,El Mundo Es Mio
5980,Bad Bunny,Hoy Cobre
5986,Bad Bunny,Maldita Pobreza
5993,Bad Bunny,La Droga
