start,stop,weight
call,hey,17
call,work,30
call,alone,26
call,hurt,20
call,ready,25
call,somebody,25
call,woo,28
call,fine,16
call,truth,22
call,guess,15
'bout,girl,63
'bout,'ve,55
'bout,ooh,55
'bout,would,49
'bout,man,70
'bout,run,68
'bout,find,43
'bout,friend,44
'bout,well,45
'bout,ayy,46
'bout,talkin,62
'bout,away,22
'bout,hand,30
'bout,damn,36
'bout,ah,34
'bout,whole,44
'bout,hey,24
'bout,work,29
'bout,alone,16
'bout,hurt,22
'bout,ready,25
'bout,somebody,19
'bout,woo,25
'bout,fine,15
'bout,truth,13
'bout,guess,13
girl,'ve,52
girl,ooh,66
girl,would,46
girl,man,57
girl,run,56
girl,find,46
girl,friend,36
girl,well,29
girl,ayy,38
girl,talkin,43
girl,away,26
girl,hand,29
girl,damn,27
girl,ah,31
girl,whole,32
girl,hey,35
girl,work,26
girl,alone,25
girl,hurt,16
girl,ready,11
girl,somebody,20
girl,woo,25
girl,fine,25
girl,truth,19
girl,guess,14
've,ooh,46
've,would,72
've,man,46
've,run,49
've,find,50
've,friend,38
've,well,41
've,ayy,24
've,talkin,21
've,away,42
've,hand,22
've,damn,26
've,ah,29
've,whole,23
've,hey,24
've,work,26
've,hurt,22
've,ready,17
've,somebody,20
've,woo,13
've,fine,19
've,truth,17
've,guess,14
ooh,would,41
ooh,man,38
ooh,run,38
ooh,find,49
ooh,friend,35
ooh,well,19
ooh,ayy,27
ooh,talkin,24
ooh,away,20
ooh,hand,26
ooh,damn,24
ooh,ah,38
ooh,whole,18
ooh,hey,32
ooh,work,13
ooh,alone,19
ooh,hurt,19
ooh,ready,12
ooh,somebody,14
ooh,woo,23
ooh,fine,17
ooh,truth,13
ooh,guess,15
would,man,43
would,run,38
would,find,40
would,friend,37
would,well,28
would,ayy,32
would,talkin,26
would,away,34
would,hand,32
would,damn,27
would,ah,28
would,whole,27
would,hey,23
would,work,24
would,alone,28
would,hurt,21
would,ready,20
would,somebody,18
would,fine,19
would,truth,20
would,guess,18
man,run,60
man,find,48
man,friend,38
man,well,37
man,ayy,38
man,talkin,40
man,away,21
man,hand,38
man,damn,35
man,ah,30
man,whole,41
man,hey,27
man,work,22
man,alone,17
man,hurt,27
man,ready,23
man,somebody,25
man,woo,23
man,fine,19
man,truth,18
man,guess,16
run,find,43
run,friend,38
run,well,31
run,ayy,33
run,talkin,39
run,away,30
run,hand,26
run,damn,28
run,ah,23
run,whole,33
run,hey,20
run,work,23
run,alone,16
run,hurt,14
run,ready,24
run,somebody,21
run,woo,20
run,fine,11
run,truth,16
run,guess,10
find,friend,32
find,well,30
find,ayy,21
find,talkin,24
find,away,33
find,hand,21
find,damn,24
find,ah,19
find,whole,20
find,hey,15
find,work,24
find,alone,26
find,hurt,27
find,ready,17
find,somebody,18
find,fine,17
find,truth,17
find,guess,20
friend,well,28
friend,ayy,27
friend,talkin,28
friend,away,23
friend,hand,22
friend,damn,15
friend,ah,17
friend,whole,17
friend,hey,14
friend,work,15
friend,alone,15
friend,hurt,17
friend,ready,13
friend,somebody,17
friend,woo,13
friend,truth,11
friend,guess,12
well,ayy,26
well,talkin,18
well,away,20
well,hand,20
well,damn,24
well,ah,20
well,whole,21
well,hey,21
well,work,21
well,alone,14
well,hurt,13
well,ready,17
well,somebody,12
well,woo,18
well,fine,16
well,truth,12
well,guess,18
ayy,talkin,28
ayy,away,16
ayy,hand,18
ayy,damn,21
ayy,ah,24
ayy,whole,21
ayy,hey,22
ayy,work,12
ayy,alone,12
ayy,hurt,12
ayy,ready,20
ayy,somebody,14
ayy,woo,19
talkin,away,13
talkin,hand,20
talkin,damn,24
talkin,ah,17
talkin,whole,22
talkin,hey,13
talkin,work,15
talkin,alone,13
talkin,hurt,13
talkin,ready,13
talkin,somebody,12
talkin,woo,17
talkin,guess,14
away,hand,14
away,damn,13
away,ah,15
away,hey,16
away,work,16
away,alone,21
away,hurt,12
away,somebody,13
away,truth,15
away,guess,15
hand,damn,24
hand,ah,14
hand,whole,15
hand,hey,14
hand,work,12
hand,alone,18
hand,hurt,16
hand,ready,11
hand,somebody,12
hand,truth,10
hand,guess,10
damn,ah,10
damn,whole,14
damn,hey,11
damn,alone,13
damn,hurt,11
damn,ready,17
damn,fine,11
damn,guess,15
ah,whole,11
ah,hey,15
ah,work,11
ah,alone,11
ah,hurt,10
ah,ready,12
ah,somebody,12
ah,woo,16
whole,hey,16
whole,ready,10
whole,somebody,12
whole,woo,13
whole,truth,11
hey,work,12
hey,ready,10
hey,woo,19
work,hurt,21
work,woo,10
work,truth,13
alone,somebody,12
alone,truth,11
hurt,guess,13
ready,somebody,10
fine,guess,10
might,get,565
might,go,444
might,time,356
might,tell,346
might,never,297
might,'ll,296
might,'re,242
might,still,230
might,even,193
might,night,191
might,new,179
might,mind,148
might,real,146
might,really,145
might,always,126
might,long,113
might,much,112
might,last,99
might,first,92
might,name,91
might,change,90
might,house,87
might,city,72
might,hope,67
might,ride,65
might,bet,57
might,drink,56
might,stand,52
might,water,50
might,cut,50
also,get,565
also,go,444
also,time,356
also,tell,346
also,never,297
also,'ll,296
also,'re,242
also,still,230
also,even,193
also,night,191
also,new,179
also,mind,148
also,real,146
also,really,145
also,always,126
also,long,113
also,much,112
also,last,99
also,first,92
also,name,91
also,change,90
also,house,87
also,city,72
also,hope,67
also,ride,65
also,bet,57
also,drink,56
also,stand,52
also,water,50
also,cut,50
lyric,go,433
lyric,tell,336
lyric,never,291
lyric,'ll,286
lyric,'re,234
lyric,still,226
lyric,even,188
lyric,mind,144
lyric,real,142
lyric,really,142
lyric,always,126
lyric,long,107
lyric,much,111
lyric,last,98
lyric,name,89
lyric,change,89
lyric,house,87
lyric,city,71
lyric,hope,66
lyric,ride,62
lyric,bet,54
