Id;Label;Name;Size
twist;twist;twist;78
sweat;sweat;sweat;78
rush;rush;rush;78
quite;quite;quite;78
pant;pant;pant;78
imagine;imagine;imagine;78
folk;folk;folk;78
brown;brown;brown;78
york;york;york;77
store;store;store;77
stare;stare;stare;77
space;space;space;77
sip;sip;sip;77
pride;pride;pride;77
mami;mami;mami;77
lift;lift;lift;77
ghetto;ghetto;ghetto;77
class;class;class;77
business;business;business;77
buck;buck;buck;77
bite;bite;bite;77
beside;beside;beside;77
wet;wet;wet;76
someday;someday;someday;76
heard;heard;heard;76
fat;fat;fat;76
e;e;e;76
soldier;soldier;soldier;75
movin;movin;movin;75
earth;earth;earth;75
dad;dad;dad;75
bow;bow;bow;75
band;band;band;75
page;page;page;74
hook;hook;hook;74
glad;glad;glad;74
drama;drama;drama;74
church;church;church;74
booty;booty;booty;74
anyway;anyway;anyway;74
train;train;train;73
tie;tie;tie;73
sunday;sunday;sunday;73
stone;stone;stone;73
short;short;short;73
fan;fan;fan;73
dope;dope;dope;73
deny;deny;deny;73
broad;broad;broad;73
box;box;box;73
actin;actin;actin;73
whisper;whisper;whisper;72
table;table;table;72
loose;loose;loose;72
living;living;living;72
hole;hole;hole;72
fame;fame;fame;72
date;date;date;72
crew;crew;crew;72
bless;bless;bless;72
simple;simple;simple;71
givin;givin;givin;71
gangsta;gangsta;gangsta;71
fella;fella;fella;71
climb;climb;climb;71
anywhere;anywhere;anywhere;71
upon;upon;upon;70
suck;suck;suck;70
stress;stress;stress;70
rim;rim;rim;70
quit;quit;quit;70
leg;leg;leg;70
finish;finish;finish;70
everyday;everyday;everyday;70
bos;bos;bos;70
yesterday;yesterday;yesterday;69
whenever;whenever;whenever;69
prove;prove;prove;69
proud;proud;proud;69
order;order;order;69
gim;gim;gim;69
wing;wing;wing;68
shame;shame;shame;68
rockin;rockin;rockin;68
prayer;prayer;prayer;68
early;early;early;68
watchin;watchin;watchin;67
verse;verse;verse;67
shop;shop;shop;67
ol;ol;ol;67
ocean;ocean;ocean;67
magic;magic;magic;67
tired;tired;tired;66
test;test;test;66
rapper;rapper;rapper;66
letter;letter;letter;66
hill;hill;hill;66
crash;crash;crash;66
clap;clap;clap;66
chrome;chrome;chrome;66
card;card;card;66
callin;callin;callin;66
bump;bump;bump;66
twice;twice;twice;65
search;search;search;65
least;least;least;65
candy;candy;candy;65
twenty;twenty;twenty;64
steady;steady;steady;64
shadow;shadow;shadow;64
rough;rough;rough;64
power;power;power;64
notice;notice;notice;64
mall;mall;mall;64
heavy;heavy;heavy;64
forgive;forgive;forgive;64
boot;boot;boot;64
beach;beach;beach;64
ago;ago;ago;64
wine;wine;wine;63
trippin;trippin;trippin;63
tough;tough;tough;63
shade;shade;shade;63
roof;roof;roof;63
remind;remind;remind;63
lucky;lucky;lucky;63
gas;gas;gas;63
either;either;either;63
eight;eight;eight;63
youre;youre;youre;62
strange;strange;strange;62
soft;soft;soft;62
sister;sister;sister;62
regret;regret;regret;62
pound;pound;pound;62
news;news;news;62
law;law;law;62
hello;hello;hello;62
hangin;hangin;hangin;62
anybody;anybody;anybody;62
admit;admit;admit;62
stage;stage;stage;61
river;river;river;61
repeat;repeat;repeat;61
noise;noise;noise;61
fo;fo;fo;61
dumb;dumb;dumb;61
daughter;daughter;daughter;61
beer;beer;beer;61
wood;wood;wood;60
welcome;welcome;welcome;60
til;til;til;60
motherfuckin;motherfuckin;motherfuckin;60
fair;fair;fair;60
coupe;coupe;coupe;60
conversation;conversation;conversation;60
clock;clock;clock;60
trunk;trunk;trunk;59
tip;tip;tip;59
settle;settle;settle;59
mountain;mountain;mountain;59
month;month;month;59
guitar;guitar;guitar;59
excuse;excuse;excuse;59
east;east;east;59
--;--;--;59
storm;storm;storm;58
screamin;screamin;screamin;58
price;price;price;58
playa;playa;playa;58
peep;peep;peep;58
ok;ok;ok;58
mi;mi;mi;58
lyricsi;lyricsi;lyricsi;58
lately;lately;lately;58
joy;joy;joy;58
jam;jam;jam;58
dirt;dirt;dirt;58
dip;dip;dip;58
dear;dear;dear;58
cute;cute;cute;58
cost;cost;cost;58
circle;circle;circle;58
book;book;book;58
wash;wash;wash;57
swallow;swallow;swallow;57
surprise;surprise;surprise;57
standin;standin;standin;57
squeeze;squeeze;squeeze;57
mo;mo;mo;57
flame;flame;flame;57
de;de;de;57
creep;creep;creep;57
choice;choice;choice;57
bleed;bleed;bleed;57
weight;weight;weight;56
weekend;weekend;weekend;56
return;return;return;56
race;race;race;56
pair;pair;pair;56
jesus;jesus;jesus;56
hug;hug;hug;56
gucci;gucci;gucci;56
grand;grand;grand;56
gentleman;gentleman;gentleman;56
devil;devil;devil;56
decide;decide;decide;56
cook;cook;cook;56
cock;cock;cock;56
beg;beg;beg;56
ass;ass;ass;56
zone;zone;zone;55
thigh;thigh;thigh;55
strip;strip;strip;55
situation;situation;situation;55
match;match;match;55
lane;lane;lane;55
j;j;j;55
homies;homies;homies;55
gang;gang;gang;55
freaky;freaky;freaky;55
exactly;exactly;exactly;55
coast;coast;coast;55
cake;cake;cake;55
wherever;wherever;wherever;54
trap;trap;trap;54
tall;tall;tall;54
sippin;sippin;sippin;54
sin;sin;sin;54
shout;shout;shout;54
ooh-ooh;ooh-ooh;ooh-ooh;54
joke;joke;joke;54
jack;jack;jack;54
friday;friday;friday;54
disappear;disappear;disappear;54
cream;cream;cream;54
clip;clip;clip;54
cell;cell;cell;54
brick;brick;brick;54
bread;bread;bread;54
bein;bein;bein;54
yellow;yellow;yellow;53
workin;workin;workin;53
oooh;oooh;oooh;53
naked;naked;naked;53
luck;luck;luck;53
hustler;hustler;hustler;53
frame;frame;frame;53
closer;closer;closer;53
busy;busy;busy;53
barely;barely;barely;53
